Frame,PSNR,SSIM,MaxPixelDiff,MeanPixelDiff
269,4.60011,0.543049,255,138.439
270,4.59657,0.542339,255,138.505
271,4.60039,0.542718,255,138.429
272,4.59212,0.541528,255,138.573
273,4.60337,0.543137,255,138.376
274,4.59946,0.542831,255,138.444
275,4.60348,0.543102,255,138.377
276,4.59552,0.541877,255,138.52
277,4.60431,0.543444,255,138.358
278,4.60017,0.543076,255,138.437
279,4.60475,0.543379,255,138.363
280,4.5964,0.542299,255,138.508
281,4.60689,0.543984,255,138.328
282,4.60263,0.543566,255,138.407
283,4.6051,0.543763,255,138.364
284,4.59771,0.542662,255,138.499
285,4.60668,0.544145,255,138.348
286,4.60194,0.54363,255,138.436
287,4.6046,0.543981,255,138.386
288,4.59626,0.542947,255,138.531
289,4.60449,0.544405,255,138.383
290,4.60091,0.543977,255,138.447
291,4.60544,0.544292,255,138.369
292,4.59745,0.543278,255,138.51
293,4.60444,0.5445,255,138.385
294,4.60055,0.543887,255,138.451
295,4.60326,0.544,255,138.398
296,4.59649,0.542803,255,138.52
297,4.60073,0.543408,255,138.444
298,4.59647,0.542793,255,138.518
299,4.59812,0.542137,255,138.487
